"";"Territori";"Mes";"Total_ERTE";"probs"
"1";"ESP";1;4873345;0,256766611028812
"2";"ESP";2;4485530;0,236333429455142
"3";"ESP";3;3317224;0,17477776855598
"4";"ESP";4;1243739;0,0655300718570846
"5";"ESP";5;955641;0,0503507756849115
"6";"ESP";6;877613;0,0462396394683383
"7";"ESP";7;811587;0,0427608641590203
"8";"ESP";8;1093714;0,057625560516394
"9";"ESP";9;1104955;0,0582178258853706
"10";"ESP";10;211254,72;0,0111305804366899
"11";"ESP";11;2532,58;0,000133436476128686
"12";"ESP";12;2532,58;0,000133436476128686
"13";"CAT";1;926335;0,24674901214224
"14";"CAT";2;866431;0,230792308764554
"15";"CAT";3;629619;0,167712400239638
"16";"CAT";4;245770;0,0654660621850609
"17";"CAT";5;193958;0,051664834964764
"18";"CAT";6;171506;0,0456842676531353
"19";"CAT";7;161879;0,043119911626543
"20";"CAT";8;262587;0,069945627501276
"21";"CAT";9;240173;0,0639751822971585
"22";"CAT";10;55900,9;0,0148903926256291
"23";"CAT";11;0;0
"24";"CAT";12;0;0
"25";"BCN";1;715374;0,241205860580791
"26";"BCN";2;673587;0,227116350344063
"27";"BCN";3;492795;0,166157900713349
"28";"BCN";4;203791;0,0687131256288599
"29";"BCN";5;163604;0,0551630945693578
"30";"BCN";6;145119;0,0489304241999623
"31";"BCN";7;133897;0,0451466521206896
"32";"BCN";8;205046;0,069136279608497
"33";"BCN";9;186795;0,0629825080687709
"34";"BCN";10;45815,46;0,0154478041656599
"35";"BCN";11;0;0
"36";"BCN";12;0;0
